id,serie_id,disciplina_id,created_at,updated_at,deleted_at
133,14,10,"2023-09-08 12:46:12","2023-09-08 15:46:12",
134,14,11,"2023-09-08 12:46:12","2023-09-08 15:46:12",
135,14,12,"2023-09-08 12:46:12","2023-09-08 15:46:12",
136,14,13,"2023-09-08 12:46:12","2023-09-08 15:46:12",
137,15,1,"2023-09-08 12:52:37","2023-09-08 15:59:48","2023-09-08 12:59:48"
138,15,2,"2023-09-08 12:52:37","2023-09-08 15:59:48","2023-09-08 12:59:48"
139,15,3,"2023-09-08 12:52:37","2023-09-08 15:59:48","2023-09-08 12:59:48"
140,15,4,"2023-09-08 12:52:37","2023-09-08 15:59:48","2023-09-08 12:59:48"
141,15,5,"2023-09-08 12:52:37","2023-09-08 15:59:48","2023-09-08 12:59:48"
142,15,6,"2023-09-08 12:52:37","2023-09-08 15:59:48","2023-09-08 12:59:48"
143,15,11,"2023-09-08 12:52:37","2023-09-08 15:59:48","2023-09-08 12:59:48"
144,15,12,"2023-09-08 12:52:37","2023-09-08 15:59:48","2023-09-08 12:59:48"
145,15,13,"2023-09-08 12:52:37","2023-09-08 15:59:48","2023-09-08 12:59:48"
146,15,14,"2023-09-08 12:52:37","2023-09-08 15:59:48","2023-09-08 12:59:48"
147,15,15,"2023-09-08 12:52:37","2023-09-08 15:59:48","2023-09-08 12:59:48"
148,15,18,"2023-09-08 12:52:37","2023-09-08 15:59:48","2023-09-08 12:59:48"
149,15,19,"2023-09-08 12:52:37","2023-09-08 15:59:48","2023-09-08 12:59:48"
150,15,20,"2023-09-08 12:52:37","2023-09-08 15:59:48","2023-09-08 12:59:48"
151,15,22,"2023-09-08 12:52:37","2023-09-08 15:59:48","2023-09-08 12:59:48"
152,15,25,"2023-09-08 12:52:37","2023-09-08 15:59:48","2023-09-08 12:59:48"
153,15,1,"2023-09-08 12:59:48","2023-09-08 15:59:48",
154,15,2,"2023-09-08 12:59:48","2023-09-08 15:59:48",
155,15,3,"2023-09-08 12:59:48","2023-09-08 15:59:48",
156,15,4,"2023-09-08 12:59:48","2023-09-08 15:59:48",
157,15,5,"2023-09-08 12:59:48","2023-09-08 15:59:48",
158,15,6,"2023-09-08 12:59:48","2023-09-08 15:59:48",
159,15,11,"2023-09-08 12:59:48","2023-09-08 15:59:48",
160,15,12,"2023-09-08 12:59:48","2023-09-08 15:59:48",
161,15,13,"2023-09-08 12:59:48","2023-09-08 15:59:48",
162,15,14,"2023-09-08 12:59:48","2023-09-08 15:59:48",
163,15,15,"2023-09-08 12:59:48","2023-09-08 15:59:48",
164,15,18,"2023-09-08 12:59:48","2023-09-08 15:59:48",
165,15,19,"2023-09-08 12:59:48","2023-09-08 15:59:48",
166,15,20,"2023-09-08 12:59:48","2023-09-08 15:59:48",
167,15,22,"2023-09-08 12:59:48","2023-09-08 15:59:48",
168,15,25,"2023-09-08 12:59:48","2023-09-08 15:59:48",
169,15,32,"2023-09-08 12:59:48","2023-09-08 15:59:48",
170,15,33,"2023-09-08 12:59:48","2023-09-08 15:59:48",
171,15,34,"2023-09-08 12:59:48","2023-09-08 15:59:48",
172,15,35,"2023-09-08 12:59:48","2023-09-08 15:59:48",
173,15,36,"2023-09-08 12:59:48","2023-09-08 15:59:48",
174,15,37,"2023-09-08 12:59:48","2023-09-08 15:59:48",
175,15,38,"2023-09-08 12:59:48","2023-09-08 15:59:48",
176,16,1,"2023-09-08 13:03:16","2023-09-08 16:03:28","2023-09-08 13:03:28"
177,16,2,"2023-09-08 13:03:16","2023-09-08 16:03:28","2023-09-08 13:03:28"
178,16,3,"2023-09-08 13:03:16","2023-09-08 16:03:28","2023-09-08 13:03:28"
179,16,4,"2023-09-08 13:03:16","2023-09-08 16:03:28","2023-09-08 13:03:28"
180,16,5,"2023-09-08 13:03:16","2023-09-08 16:03:28","2023-09-08 13:03:28"
181,16,6,"2023-09-08 13:03:16","2023-09-08 16:03:28","2023-09-08 13:03:28"
182,16,11,"2023-09-08 13:03:16","2023-09-08 16:03:28","2023-09-08 13:03:28"
183,16,12,"2023-09-08 13:03:16","2023-09-08 16:03:28","2023-09-08 13:03:28"
184,16,13,"2023-09-08 13:03:16","2023-09-08 16:03:28","2023-09-08 13:03:28"
185,16,14,"2023-09-08 13:03:16","2023-09-08 16:03:28","2023-09-08 13:03:28"
186,16,15,"2023-09-08 13:03:16","2023-09-08 16:03:28","2023-09-08 13:03:28"
187,16,18,"2023-09-08 13:03:16","2023-09-08 16:03:28","2023-09-08 13:03:28"
188,16,19,"2023-09-08 13:03:16","2023-09-08 16:03:28","2023-09-08 13:03:28"
189,16,20,"2023-09-08 13:03:16","2023-09-08 16:03:28","2023-09-08 13:03:28"
190,16,22,"2023-09-08 13:03:16","2023-09-08 16:03:28","2023-09-08 13:03:28"
191,16,25,"2023-09-08 13:03:16","2023-09-08 16:03:28","2023-09-08 13:03:28"
192,16,1,"2023-09-08 13:03:28","2023-09-08 16:03:28",
193,16,2,"2023-09-08 13:03:28","2023-09-08 16:03:28",
194,16,3,"2023-09-08 13:03:28","2023-09-08 16:03:28",
195,16,4,"2023-09-08 13:03:28","2023-09-08 16:03:28",
196,16,5,"2023-09-08 13:03:28","2023-09-08 16:03:28",
197,16,6,"2023-09-08 13:03:28","2023-09-08 16:03:28",
198,16,11,"2023-09-08 13:03:28","2023-09-08 16:03:28",
199,16,12,"2023-09-08 13:03:28","2023-09-08 16:03:28",
200,16,13,"2023-09-08 13:03:28","2023-09-08 16:03:28",
201,16,14,"2023-09-08 13:03:28","2023-09-08 16:03:28",
202,16,15,"2023-09-08 13:03:28","2023-09-08 16:03:28",
203,16,18,"2023-09-08 13:03:28","2023-09-08 16:03:28",
204,16,19,"2023-09-08 13:03:28","2023-09-08 16:03:28",
205,16,20,"2023-09-08 13:03:28","2023-09-08 16:03:28",
206,16,22,"2023-09-08 13:03:28","2023-09-08 16:03:28",
207,16,25,"2023-09-08 13:03:28","2023-09-08 16:03:28",
208,17,1,"2023-09-08 13:05:55","2023-09-08 16:05:55",
209,17,2,"2023-09-08 13:05:55","2023-09-08 16:05:55",
210,17,3,"2023-09-08 13:05:55","2023-09-08 16:05:55",
211,17,4,"2023-09-08 13:05:55","2023-09-08 16:05:55",
212,17,5,"2023-09-08 13:05:55","2023-09-08 16:05:55",
213,17,6,"2023-09-08 13:05:55","2023-09-08 16:05:55",
214,17,11,"2023-09-08 13:05:55","2023-09-08 16:05:55",
215,17,12,"2023-09-08 13:05:55","2023-09-08 16:05:55",
216,17,13,"2023-09-08 13:05:55","2023-09-08 16:05:55",
217,17,14,"2023-09-08 13:05:55","2023-09-08 16:05:55",
218,17,15,"2023-09-08 13:05:55","2023-09-08 16:05:55",
219,17,18,"2023-09-08 13:05:55","2023-09-08 16:05:55",
220,17,19,"2023-09-08 13:05:55","2023-09-08 16:05:55",
221,17,20,"2023-09-08 13:05:55","2023-09-08 16:05:55",
222,17,22,"2023-09-08 13:05:55","2023-09-08 16:05:55",
223,17,25,"2023-09-08 13:05:55","2023-09-08 16:05:55",
