id,sessionid,login,login_time,login_year,login_month,login_day,logout_time,impersonated,access_ip,impersonated_by
95,4cb1c03a24cf5b838156406ffed9508f,thainara,"2023-11-15 14:34:08",2023,11,15,"0000-00-00 00:00:00",N,10.101.20.89,
96,f1a62d3b9b7756fa8f2bb5ad5d45b125,admin,"2023-11-15 15:26:43",2023,11,15,"2023-11-15 15:30:52",N,10.101.20.89,
97,45ccb3a6dc831484cbee8ec79363f222,luciene,"2023-11-16 16:21:55",2023,11,16,"0000-00-00 00:00:00",N,10.101.20.89,
98,69b138e8a7b14fefe234d40e6971cc10,luciene,"2023-11-17 10:53:39",2023,11,17,"0000-00-00 00:00:00",N,10.101.20.89,
99,d7aa46557288e6673bdf20e6bfbfe049,luciene,"2023-11-17 11:06:00",2023,11,17,"0000-00-00 00:00:00",N,10.101.20.89,
100,657b39a340ca8a91cf03c3db291b7047,luciene,"2023-11-20 15:27:15",2023,11,20,"0000-00-00 00:00:00",N,10.101.20.89,
101,dadd64fb84920630ec1e1f45955eb44a,admin,"2023-11-21 15:32:08",2023,11,21,"0000-00-00 00:00:00",N,10.101.20.89,
102,c5ee4d15a9daa8103a0c17969f8c8c09,admin,"2023-11-26 21:20:20",2023,11,26,"2023-11-26 21:20:42",N,10.101.20.89,
103,8b83086cf12488956e64d6af1370a167,admin,"2023-11-26 21:21:10",2023,11,26,"2023-11-26 21:21:29",N,10.101.20.89,
104,de0da07dc3ca522f88d8866e961eb0dc,luciene,"2023-11-27 10:54:09",2023,11,27,"0000-00-00 00:00:00",N,10.101.20.89,
105,5a84f322639bbdd98ab0e051d7f3d8d9,luciene,"2023-11-27 14:08:37",2023,11,27,"0000-00-00 00:00:00",N,10.101.20.89,
106,2fd151685f2f4bc02219df0811f48d9d,luciene,"2023-11-28 16:47:19",2023,11,28,"0000-00-00 00:00:00",N,10.101.20.89,
107,63f53f9abbbc1e1292140d6c99224bac,luciene,"2023-11-29 07:48:41",2023,11,29,"0000-00-00 00:00:00",N,10.101.20.89,
108,e08c16391c699966568e7f93a2849999,luciene,"2023-11-30 09:01:00",2023,11,30,"0000-00-00 00:00:00",N,10.101.20.89,
109,19e247bb1fa2748d06af3aae3b4d5578,luciene,"2023-11-30 14:42:11",2023,11,30,"0000-00-00 00:00:00",N,10.101.20.89,
