id,historico_id,totais,n1_ano,n2_ano,n3_ano,n4_ano,n5_ano,n6_ano,n7_ano,n8_ano,n9_ano,n1_serie,n2_serie,n3_serie
5008,768,"Carga Horária",-,-,1000,1000,1000,-,-,-,-,-,-,-
5009,768,Frequência,-,-,100%,98%,96%,-,-,-,-,-,-,-
5010,768,"Resultado Final",-,-,AP,AP,AP,-,-,-,-,-,-,-
5014,769,"Dias Letivos",200,200,200,200,200,-,-,-,-,-,-,-
5015,769,"Carga Horária",1000,1000,1000,1000,1000,-,-,-,-,-,-,-
5016,769,Frequência,100%,98%,97%,100%,94%,-,-,-,-,-,-,-
5017,769,"Resultado Final",AP,AP,AP,AP,AP,-,-,-,-,-,-,-
5021,770,"Dias Letivos",200,200,200,200,200,-,-,-,-,-,-,-
5022,770,"Carga Horária",1000,1000,1000,1000,1000,-,-,-,-,-,-,-
5023,770,Frequência,97%,97%,75%,97%,86%,-,-,-,-,-,-,-
5024,770,"Resultado Final",AP,AP,AP,AP,AP,-,-,-,-,-,-,-
5028,771,"Dias Letivos",200,200,-,-,-,-,-,-,-,-,-,-
5029,771,"Carga Horária",1000,1000,-,-,-,-,-,-,-,-,-,-
5030,771,Frequência,93%,86%,-,-,-,-,-,-,-,-,-,-
5031,771,"Resultado Final",AP,AP,-,-,-,-,-,-,-,-,-,-
5035,772,"Dias Letivos",200,200,200,200,200,200,200,200,200,-,-,-
5036,772,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,1000,-,-,-
5037,772,Frequência,-,-,-,-,100%,100%,98%,99%,99%,-,-,-
5038,772,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,-,-,-
5042,773,"Dias Letivos",200,200,200,200,200,200,200,200,-,-,-,-
5043,773,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,-,-,-,-
5044,773,Frequência,100%,100%,97%,98%,97%,98%,97%,75%,-,-,-,-
5045,773,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,-,-,-,-
5049,774,"Dias Letivos",200,200,200,200,200,200,200,200,200,-,-,-
5050,774,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,1000,-,-,-
5051,774,Frequência,-,-,-,-,96%,99%,96%,95%,86%,-,-,-
5052,774,"Resultado Final",-,AP,AP,AP,AP,AP,AP,AP,AP,-,-,-
5053,775,"Dias Letivos",200,200,200,200,200,-,-,-,-,-,-,-
5054,775,"Carga Horária",1000,1000,1000,1000,1000,-,-,-,-,-,-,-
5055,775,Frequência,95%,95%,94%,86%,89%,-,-,-,-,-,-,-
5056,775,"Resultado Final",AP,AP,AP,AP,AP,-,-,-,-,-,-,-
5057,776,"Dias Letivos",200,200,200,200,200,-,-,-,-,-,-,-
5058,776,"Carga Horária",1000,1000,1000,1000,1000,-,-,-,-,-,-,-
5059,776,Frequência,-,-,-,100%,50%,-,-,-,-,-,-,-
5060,776,"Resultado Final",AP,AP,AP,AP,TRAN,-,-,-,-,-,-,-
5061,777,"Dias Letivos",200,200,200,200,200,-,-,-,-,-,-,-
5062,777,"Carga Horária",1000,1000,1000,1000,1000,-,-,-,-,-,-,-
5063,777,Frequência,99%,91%,100%,100%,97%,-,-,-,-,-,-,-
5064,777,"Resultado Final",AP,AP,AP,AP,AP,-,-,-,-,-,-,-
5065,778,"Dias Letivos",200,200,-,-,-,-,-,-,-,-,-,-
5066,778,"Carga Horária",1000,1000,-,-,-,-,-,-,-,-,-,-
5067,778,Frequência,90%,94%,-,-,-,-,-,-,-,-,-,-
5068,778,"Resultado Final",AP,REP,-,-,-,-,-,-,-,-,-,-
5069,779,"Dias Letivos",-,-,200,200,200,-,-,-,-,-,-,-
5070,779,"Carga Horária",-,-,1000,1000,1000,-,-,-,-,-,-,-
5071,779,Frequência,-,-,97%,98%,98%,-,-,-,-,-,-,-
5072,779,"Resultado Final",-,-,AP,AP,AP,-,-,-,-,-,-,-
5073,780,"Dias Letivos",200,200,200,200,200,200,200,-,-,-,-,-
5074,780,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,-,-,-,-,-
5075,780,Frequência,-,-,-,-,-,99%,98%,-,-,-,-,-
5076,780,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,-,-,-,-,-
5077,781,"Dias Letivos",200,200,200,200,200,-,-,-,-,-,-,-
5078,781,"Carga Horária",1000,1000,1000,1000,1000,-,-,-,-,-,-,-
5079,781,Frequência,-,-,-,91%,95%,-,-,-,-,-,-,-
5080,781,"Resultado Final",AP,AP,AP,AP,AP,-,-,-,-,-,-,-
