id,historico_id,totais,n1_ano,n2_ano,n3_ano,n4_ano,n5_ano,n6_ano,n7_ano,n8_ano,n9_ano,n1_serie,n2_serie,n3_serie
4089,631,"Carga Horária",1000,1000,1000,1000,1000,1000,-,-,-,-,-,-
4090,631,Frequência,-,-,100%,100%,100%,96%,-,-,-,-,-,-
4091,631,"Resultado Final",AP,AP,AP,AP,AP,AP,-,-,-,-,-,-
4095,632,"Dias Letivos",200,-,-,-,-,-,-,-,-,-,-,-
4096,632,"Carga Horária",1000,-,-,-,-,-,-,-,-,-,-,-
4097,632,"Frequência %",-,-,-,-,-,-,-,-,-,-,-,-
4098,632,"Resultado Final",TRAN,-,-,-,-,-,-,-,-,-,-,-
4102,633,"Dias Letivos",200,200,-,-,-,-,-,-,-,-,-,-
4103,633,"Carga Horária",1000,1000,-,-,-,-,-,-,-,-,-,-
4104,633,Frequência,100%,,-,-,-,-,-,-,-,-,-,-
4105,633,"Resultado Final",AP,TRAN,-,-,-,-,-,-,-,-,-,-
4109,634,"Dias Letivos",-,-,-,-,-,-,-,-,-,-,-,-
4110,634,"Carga Horária",-,-,-,-,-,-,-,-,-,-,-,-
4111,634,"Frequência %",-,-,-,-,-,-,-,-,-,-,-,-
4112,634,"Resultado Final",-,-,-,-,-,-,-,-,-,-,-,-
4116,635,"Dias Letivos",200,200,200,200,200,-,-,-,-,-,-,-
4117,635,"Carga Horária",1000,1000,1000,1000,1000,-,-,-,-,-,-,-
4118,635,Frequência,100%,100%,100%,100%,100%,-,-,-,-,-,-,-
4119,635,"Resultado Final",AP,AP,AP,AP,AP,-,-,-,-,-,-,-
4123,636,"Dias Letivos",200,200,200,200,200,-,-,-,-,-,-,-
4124,636,"Carga Horária",1000,1000,1000,1000,1000,-,-,-,-,-,-,-
4125,636,Frequência,100%,98%,100%,100%,100%,-,-,-,-,-,-,-
4126,636,"Resultado Final",AP,AP,AP,AP,AP,-,-,-,-,-,-,-
4130,637,"Dias Letivos",200,200,200,200,200,-,-,-,-,-,-,-
4131,637,"Carga Horária",1000,1000,1000,1000,1000,-,-,-,-,-,-,-
4132,637,Frequência,100%,100%,100%,100%,100%,-,-,-,-,-,-,-
4133,637,"Resultado Final",AP,AP,AP,AP,AP,-,-,-,-,-,-,-
