id,disciplina_id,serie_id,a_1bim,a_2bim,a_3bim,a_4bim,ta_anual,created_at,updated_at,deleted_at
67,13,12,0,0,0,0,0,"2023-09-03 16:04:42","2023-09-03 16:04:42",
68,13,13,0,0,0,0,0,"2023-09-03 16:04:42","2023-09-03 16:04:42",
69,13,14,0,0,0,0,0,"2023-09-03 16:04:42","2023-09-03 16:04:42",
70,13,15,0,0,0,0,0,"2023-09-03 16:04:42","2023-09-03 16:04:42",
71,13,16,0,0,0,0,0,"2023-09-03 16:04:42","2023-09-03 16:04:42",
72,13,17,0,0,0,0,0,"2023-09-03 16:04:42","2023-09-03 16:04:42",
73,14,15,0,0,0,0,0,"2023-09-03 16:05:22","2023-09-03 16:05:22",
74,14,16,0,0,0,0,0,"2023-09-03 16:05:22","2023-09-03 16:05:22",
75,14,17,0,0,0,0,0,"2023-09-03 16:05:22","2023-09-03 16:05:22",
76,15,6,0,0,0,0,0,"2023-09-03 16:06:59","2023-09-03 16:06:59",
77,15,7,0,0,0,0,0,"2023-09-03 16:06:59","2023-09-03 16:06:59",
78,15,8,0,0,0,0,0,"2023-09-03 16:06:59","2023-09-03 16:06:59",
79,15,9,0,0,0,0,0,"2023-09-03 16:06:59","2023-09-03 16:06:59",
80,15,10,0,0,0,0,0,"2023-09-03 16:06:59","2023-09-03 16:06:59",
81,15,11,0,0,0,0,0,"2023-09-03 16:06:59","2023-09-03 16:06:59",
82,15,12,0,0,0,0,0,"2023-09-03 16:06:59","2023-09-03 16:06:59",
83,15,13,0,0,0,0,0,"2023-09-03 16:06:59","2023-09-03 16:06:59",
84,15,14,0,0,0,0,0,"2023-09-03 16:06:59","2023-09-03 16:06:59",
85,18,16,0,0,0,0,0,"2023-09-03 16:07:42","2023-09-07 22:57:06",
86,18,17,0,0,0,0,0,"2023-09-03 16:07:42","2023-09-07 22:57:06",
87,10,6,0,0,0,0,0,"2023-09-03 16:09:03","2023-09-07 22:57:06",
88,10,7,0,0,0,0,0,"2023-09-03 16:09:03","2023-09-07 22:57:06",
89,10,8,0,0,0,0,0,"2023-09-03 16:09:03","2023-09-07 22:57:06",
90,10,9,0,0,0,0,0,"2023-09-03 16:09:03","2023-09-07 22:57:06",
91,10,10,0,0,0,0,0,"2023-09-03 16:09:03","2023-09-07 22:57:06",
92,10,11,0,0,0,0,0,"2023-09-03 16:09:03","2023-09-07 22:57:06",
93,10,12,0,0,0,0,0,"2023-09-03 16:09:03","2023-09-07 22:57:06",
94,10,13,0,0,0,0,0,"2023-09-03 16:09:03","2023-09-07 22:57:06",
95,10,14,0,0,0,0,0,"2023-09-03 16:09:03","2023-09-07 22:57:06",
96,19,15,0,0,0,0,0,"2023-09-03 16:09:46","2023-09-03 16:09:46",
97,19,16,0,0,0,0,0,"2023-09-03 16:09:46","2023-09-03 16:09:46",
98,19,17,0,0,0,0,0,"2023-09-03 16:09:46","2023-09-03 16:09:46",
99,18,15,0,0,0,0,0,"2023-09-03 16:10:42","2023-09-03 16:10:42",
100,18,16,0,0,0,0,0,"2023-09-03 16:10:42","2023-09-03 16:10:42",
101,18,17,0,0,0,0,0,"2023-09-03 16:10:42","2023-09-03 16:10:42",
102,20,15,0,0,0,0,0,"2023-09-03 16:11:17","2023-09-03 16:11:17",
103,20,16,0,0,0,0,0,"2023-09-03 16:11:17","2023-09-03 16:11:17",
104,20,17,0,0,0,0,0,"2023-09-03 16:11:17","2023-09-03 16:11:17",
105,22,3,0,0,0,0,0,"2023-09-03 16:12:22","2023-09-03 16:12:22",
106,22,4,0,0,0,0,0,"2023-09-03 16:12:22","2023-09-03 16:12:22",
107,22,5,0,0,0,0,0,"2023-09-03 16:12:22","2023-09-03 16:12:22",
108,23,3,0,0,0,0,0,"2023-09-03 16:13:07","2023-09-03 16:13:07",
109,23,4,0,0,0,0,0,"2023-09-03 16:13:07","2023-09-03 16:13:07",
110,23,5,0,0,0,0,0,"2023-09-03 16:13:07","2023-09-03 16:13:07",
111,24,16,0,0,0,0,0,"2023-09-03 16:14:06","2023-09-03 16:14:06",
112,24,17,0,0,0,0,0,"2023-09-03 16:14:06","2023-09-03 16:14:06",
113,25,3,0,0,0,0,0,"2023-09-03 16:14:45","2023-09-03 16:14:45",
114,25,4,0,0,0,0,0,"2023-09-03 16:14:45","2023-09-03 16:14:45",
115,25,5,0,0,0,0,0,"2023-09-03 16:14:45","2023-09-03 16:14:45",
116,26,3,0,0,0,0,0,"2023-09-03 16:15:23","2023-09-03 16:15:23",
117,26,4,0,0,0,0,0,"2023-09-03 16:15:23","2023-09-03 16:15:23",
118,26,5,0,0,0,0,0,"2023-09-03 16:15:23","2023-09-03 16:15:23",
119,28,15,0,0,0,0,0,"2023-09-03 16:16:44","2023-09-03 16:16:44",
120,29,15,0,0,0,0,0,"2023-09-03 16:17:06","2023-09-03 16:17:06",
121,30,15,0,0,0,0,0,"2023-09-03 16:17:31","2023-09-03 16:17:31",
122,31,15,0,0,0,0,0,"2023-09-03 16:17:56","2023-09-03 16:17:56",
123,32,15,0,0,0,0,0,"2023-09-03 16:18:21","2023-09-03 16:18:21",
124,33,15,0,0,0,0,0,"2023-09-03 16:18:45","2023-09-03 16:18:45",
125,35,3,0,0,0,0,0,"2023-09-03 16:20:08","2023-09-03 16:20:08",
126,35,4,0,0,0,0,0,"2023-09-03 16:20:08","2023-09-03 16:20:08",
127,35,5,0,0,0,0,0,"2023-09-03 16:20:08","2023-09-03 16:20:08",
128,1,6,0,0,0,0,0,"2023-09-06 16:59:08","2023-09-06 16:59:08",
129,1,7,30,33,0,0,63,"2023-09-06 16:59:08","2023-09-06 16:59:08",
130,1,8,0,0,0,0,0,"2023-09-06 16:59:08","2023-09-06 16:59:08",
131,1,9,0,0,0,0,0,"2023-09-06 16:59:08","2023-09-06 16:59:08",
132,1,10,0,0,0,0,0,"2023-09-06 16:59:08","2023-09-06 16:59:08",
133,1,11,0,0,0,0,0,"2023-09-06 16:59:08","2023-09-06 16:59:08",
134,1,12,0,0,0,0,0,"2023-09-06 16:59:08","2023-09-06 16:59:08",
135,1,13,0,0,0,0,0,"2023-09-06 16:59:08","2023-09-06 16:59:08",
136,1,14,0,0,0,0,0,"2023-09-06 16:59:08","2023-09-06 16:59:08",
137,1,15,0,0,0,0,0,"2023-09-06 16:59:08","2023-09-06 16:59:08",
138,1,16,0,0,0,0,0,"2023-09-06 16:59:08","2023-09-06 16:59:08",
139,1,17,0,0,0,0,0,"2023-09-06 16:59:08","2023-09-06 16:59:08",
140,1,6,0,0,0,0,0,"2023-09-06 17:00:42","2023-09-06 17:00:42",
141,1,7,30,33,0,0,63,"2023-09-06 17:00:42","2023-09-06 17:00:42",
142,1,8,2,0,0,0,2,"2023-09-06 17:00:42","2023-09-06 17:00:42",
143,1,9,0,0,0,0,0,"2023-09-06 17:00:42","2023-09-06 17:00:42",
144,1,10,0,0,0,0,0,"2023-09-06 17:00:42","2023-09-06 17:00:42",
145,1,11,0,0,0,0,0,"2023-09-06 17:00:42","2023-09-06 17:00:42",
146,1,12,0,0,0,0,0,"2023-09-06 17:00:42","2023-09-06 17:00:42",
147,1,13,0,0,0,0,0,"2023-09-06 17:00:42","2023-09-06 17:00:42",
148,1,14,0,0,0,0,0,"2023-09-06 17:00:42","2023-09-06 17:00:42",
149,1,15,0,0,0,0,0,"2023-09-06 17:00:42","2023-09-06 17:00:42",
150,1,16,0,0,0,0,0,"2023-09-06 17:00:42","2023-09-06 17:00:42",
151,1,17,0,0,0,0,0,"2023-09-06 17:00:42","2023-09-06 17:00:42",
